Time,LIVING ZONE:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING ZONE:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING ZONE:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING ZONE:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,8.972548E+03,1.069991E+03,3.166779E-01,8.827056E-02
00:30:00,9.003763E+03,9.866316E+02,3.177794E-01,8.139343E-02
00:45:00,9.034344E+03,9.055079E+02,3.188585E-01,7.470073E-02
01:00:00,9.064507E+03,8.265968E+02,3.199228E-01,6.819060E-02
01:15:00,9.086374E+03,7.573517E+02,3.206944E-01,6.247790E-02
01:30:00,9.104659E+03,6.927913E+02,3.213396E-01,5.715175E-02
01:45:00,9.120832E+03,6.320675E+02,3.219102E-01,5.214215E-02
02:00:00,9.135450E+03,5.745967E+02,3.224261E-01,4.740093E-02
02:15:00,9.146743E+03,5.219593E+02,3.228246E-01,4.305847E-02
02:30:00,9.156205E+03,4.726382E+02,3.231585E-01,3.898963E-02
02:45:00,9.164378E+03,4.261587E+02,3.234470E-01,3.515522E-02
03:00:00,9.171489E+03,3.823414E+02,3.236979E-01,3.154046E-02
03:15:00,9.177661E+03,3.406116E+02,3.239157E-01,2.809793E-02
03:30:00,9.183100E+03,3.008093E+02,3.241076E-01,2.481441E-02
03:45:00,9.187980E+03,2.627844E+02,3.242799E-01,2.167756E-02
04:00:00,9.192495E+03,2.264246E+02,3.244392E-01,1.867807E-02
04:15:00,9.192941E+03,1.953460E+02,3.244549E-01,1.611426E-02
04:30:00,9.191722E+03,1.670882E+02,3.244119E-01,1.378319E-02
04:45:00,9.189361E+03,1.562515E+02,3.243286E-01,1.288919E-02
05:00:00,9.186088E+03,1.797440E+02,3.242132E-01,1.482708E-02
05:15:00,9.174776E+03,2.611280E+02,3.238140E-01,2.154084E-02
05:30:00,9.159930E+03,3.987044E+02,3.232901E-01,3.289098E-02
05:45:00,9.142810E+03,5.750582E+02,3.226860E-01,4.744126E-02
06:00:00,9.123992E+03,7.742575E+02,3.220220E-01,6.387761E-02
06:15:00,9.106836E+03,9.725570E+02,3.214167E-01,8.024007E-02
06:30:00,9.089267E+03,1.165835E+03,3.207967E-01,9.618665E-02
06:45:00,9.071250E+03,1.351601E+03,3.201610E-01,1.115125E-01
07:00:00,9.052835E+03,1.524111E+03,3.195113E-01,1.257435E-01
07:15:00,9.046196E+03,1.676486E+03,3.192772E-01,1.383120E-01
07:30:00,9.041052E+03,1.819013E+03,3.190959E-01,1.500684E-01
07:45:00,9.036735E+03,1.954747E+03,3.189436E-01,1.612637E-01
08:00:00,9.033008E+03,2.088160E+03,3.188121E-01,1.722673E-01
08:15:00,9.064545E+03,2.185031E+03,3.199253E-01,1.802567E-01
08:30:00,9.102076E+03,2.273899E+03,3.212495E-01,1.875863E-01
08:45:00,9.143369E+03,2.355952E+03,3.227064E-01,1.943537E-01
09:00:00,9.187408E+03,2.429081E+03,3.242597E-01,2.003849E-01
09:15:00,9.209523E+03,2.513410E+03,3.250391E-01,2.073403E-01
09:30:00,9.231280E+03,2.587657E+03,3.258059E-01,2.134641E-01
09:45:00,9.253116E+03,2.650154E+03,3.265757E-01,2.186187E-01
10:00:00,9.275056E+03,2.697730E+03,3.273493E-01,2.225425E-01
10:15:00,9.281411E+03,2.745734E+03,3.275729E-01,2.265018E-01
10:30:00,9.285681E+03,2.781386E+03,3.277232E-01,2.294422E-01
10:45:00,9.288685E+03,2.804580E+03,3.278290E-01,2.313551E-01
11:00:00,9.290877E+03,2.818742E+03,3.279062E-01,2.325229E-01
11:15:00,9.292774E+03,2.823641E+03,3.279731E-01,2.329273E-01
11:30:00,9.294355E+03,2.822672E+03,3.280288E-01,2.328485E-01
11:45:00,9.295694E+03,2.820784E+03,3.280761E-01,2.326939E-01
12:00:00,9.296820E+03,2.824850E+03,3.281158E-01,2.330305E-01
12:15:00,9.298127E+03,2.843474E+03,3.281620E-01,2.345674E-01
12:30:00,9.299424E+03,2.882519E+03,3.282079E-01,2.377884E-01
12:45:00,9.300696E+03,2.943534E+03,3.282528E-01,2.428245E-01
13:00:00,9.301940E+03,3.024941E+03,3.282967E-01,2.495433E-01
13:15:00,9.302422E+03,3.121808E+03,3.283138E-01,2.575377E-01
13:30:00,9.302772E+03,3.228077E+03,3.283262E-01,2.663078E-01
13:45:00,9.303024E+03,3.339577E+03,3.283351E-01,2.755069E-01
14:00:00,9.303195E+03,3.454218E+03,3.283411E-01,2.849647E-01
14:15:00,9.302770E+03,3.566977E+03,3.283261E-01,2.942670E-01
14:30:00,9.302063E+03,3.674006E+03,3.283010E-01,3.030964E-01
14:45:00,9.301141E+03,3.772555E+03,3.282684E-01,3.112262E-01
15:00:00,9.300047E+03,3.858220E+03,3.282297E-01,3.182928E-01
15:15:00,9.294837E+03,3.934409E+03,3.280458E-01,3.245760E-01
15:30:00,9.287708E+03,3.998345E+03,3.277942E-01,3.298464E-01
15:45:00,9.279444E+03,4.048969E+03,3.275026E-01,3.340186E-01
16:00:00,9.270331E+03,4.084757E+03,3.271811E-01,3.369669E-01
16:15:00,9.247025E+03,4.122168E+03,3.263587E-01,3.400510E-01
16:30:00,9.218724E+03,4.153652E+03,3.253602E-01,3.426482E-01
16:45:00,9.187251E+03,4.178828E+03,3.242498E-01,3.447254E-01
17:00:00,9.153398E+03,4.198748E+03,3.230556E-01,3.463691E-01
17:15:00,9.104407E+03,4.223357E+03,3.213272E-01,3.483997E-01
17:30:00,9.053190E+03,4.237087E+03,3.195203E-01,3.495317E-01
17:45:00,9.000160E+03,4.234726E+03,3.176496E-01,3.493356E-01
18:00:00,8.945788E+03,4.210960E+03,3.157318E-01,3.473739E-01
18:15:00,8.891504E+03,4.153459E+03,3.138173E-01,3.426292E-01
18:30:00,8.839704E+03,4.057306E+03,3.119905E-01,3.346972E-01
18:45:00,8.789464E+03,3.919916E+03,3.102185E-01,3.233639E-01
19:00:00,8.740209E+03,3.726612E+03,3.084811E-01,3.074179E-01
19:15:00,8.719392E+03,3.468906E+03,3.077472E-01,2.861595E-01
19:30:00,8.702571E+03,3.199794E+03,3.071540E-01,2.639607E-01
19:45:00,8.688176E+03,2.948826E+03,3.066461E-01,2.432586E-01
20:00:00,8.675596E+03,2.746691E+03,3.062021E-01,2.265850E-01
20:15:00,8.666910E+03,2.593404E+03,3.058952E-01,2.139405E-01
20:30:00,8.660071E+03,2.472426E+03,3.056534E-01,2.039609E-01
20:45:00,8.654567E+03,2.368237E+03,3.054586E-01,1.953660E-01
21:00:00,8.650093E+03,2.274910E+03,3.053004E-01,1.876671E-01
21:15:00,8.650387E+03,2.184382E+03,3.053104E-01,1.801990E-01
21:30:00,8.654764E+03,2.095466E+03,3.054646E-01,1.728658E-01
21:45:00,8.661823E+03,2.008315E+03,3.057135E-01,1.656782E-01
22:00:00,8.670861E+03,1.922378E+03,3.060323E-01,1.585906E-01
22:15:00,8.696466E+03,1.824129E+03,3.069360E-01,1.504873E-01
22:30:00,8.727239E+03,1.725221E+03,3.080219E-01,1.423275E-01
22:45:00,8.761346E+03,1.626415E+03,3.092255E-01,1.341761E-01
23:00:00,8.798078E+03,1.528060E+03,3.105217E-01,1.260617E-01
23:15:00,8.833125E+03,1.433558E+03,3.117583E-01,1.182651E-01
23:30:00,8.868380E+03,1.340253E+03,3.130023E-01,1.105675E-01
23:45:00,8.904053E+03,1.247733E+03,3.142611E-01,1.029344E-01
24:00:00,8.940138E+03,1.156147E+03,3.155343E-01,9.537851E-02
Peak,9.303195E+03,4.237087E+03,3.283411E-01,3.495317E-01

Peak Vol Flow (m3/s),,,2.792623E-01,2.972854E-01
